year,player,career_hr
1949,Bob Elliott,109
1949,Enos Slaughter,107
1949,Del Ennis,84
1949,Sid Gordon,83
1949,Elbie Fletcher,77
1949,Andy Pafko,75
1949,Willard Marshall,75
1949,Bobby Thomson,72
1949,Hank Sauer,66
1949,Eddie Joost,64
1949,Mickey Vernon,61
1949,Lou Boudreau,59
1949,Walker Cooper,55
1949,Dom DiMaggio,54
1949,Grady Hatton,50
1950,Joe DiMaggio,335
1950,Ralph Kiner,215
1950,Bobby Doerr,208
1950,Vern Stephens,207
1950,Stan Musial,173
1950,Sam Chapman,157
1950,Bob Elliott,133
1950,Enos Slaughter,117
1950,Del Ennis,115
1950,Andy Pafko,111
1950,Sid Gordon,110
1950,Hank Sauer,98
1950,Bobby Thomson,97
1950,Eddie Joost,82
1950,Larry Doby,74
1950,Mickey Vernon,70
1950,Gil Hodges,66
1950,Dom DiMaggio,61
1950,Grady Hatton,61
1950,Roy Campanella,60
1950,Pee Wee Reese,58
1950,Eddie Robinson,55
1950,Duke Snider,54
1950,Jackie Robinson,54
1951,Joe DiMaggio,347
1951,Ted Williams,295
1951,Ralph Kiner,257
1951,Stan Musial,205
1951,Bob Elliott,148
1951,Andy Pafko,141
1951,Sid Gordon,139
1951,Del Ennis,130
1951,Bobby Thomson,129
1951,Hank Sauer,128
1951,Enos Slaughter,121
1951,Gil Hodges,106
1951,Eddie Joost,101
1951,Larry Doby,94
1951,Roy Campanella,93
1951,Willard Marshall,86
1951,Eddie Robinson,84
1951,Duke Snider,83
1951,Mickey Vernon,79
1951,Vic Wertz,74
1951,Dom DiMaggio,73
1951,Earl Torgeson,73
1951,Jackie Robinson,73
1951,Wally Westlake,69
1951,Yogi Berra,69
1951,Pee Wee Reese,68
1951,Luke Easter,66
1951,Willie Jones,66
1951,Gus Zernial,62
1951,Al Rosen,61
1951,Monte Irvin,61
1951,Jerry Priddy,53
1951,Carl Furillo,52
1952,Ralph Kiner,294
1952,Stan Musial,226
1952,Hank Sauer,165
1952,Sid Gordon,164
1952,Andy Pafko,160
1952,Bobby Thomson,153
1952,Del Ennis,150
1952,Gil Hodges,138
1952,Enos Slaughter,132
1952,Larry Doby,126
1952,Eddie Joost,121
1952,Roy Campanella,115
1952,Eddie Robinson,106
1952,Duke Snider,104
1952,Yogi Berra,99
1952,Luke Easter,97
1952,Vic Wertz,97
1952,Willard Marshall,96
1952,Jackie Robinson,92
1952,Gus Zernial,91
1952,Al Rosen,89
1952,Mickey Vernon,89
1952,Willie Jones,84
1952,Dom DiMaggio,79
1952,Pee Wee Reese,74
1952,Grady Hatton,70
1952,Walt Dropo,63
1952,Ted Kluszewski,62
1952,Whitey Lockman,60
1952,Sam Jethroe,57
1952,Alvin Dark,50
1953,Ralph Kiner,329
1953,Stan Musial,256
1953,Sid Gordon,183
1953,Bobby Thomson,179
1953,Del Ennis,179
1953,Andy Pafko,177
1953,Gil Hodges,169
1953,Roy Campanella,156
1953,Larry Doby,155
1953,Duke Snider,146
1953,Enos Slaughter,138
1953,Gus Zernial,133
1953,Al Rosen,132
1953,Eddie Robinson,128
1953,Yogi Berra,126
1953,Vic Wertz,116
1953,Jackie Robinson,104
1953,Mickey Vernon,104
1953,Willie Jones,103
1953,Ted Kluszewski,102
1953,Pee Wee Reese,87
1953,Monte Irvin,82
1953,Walt Dropo,76
1953,Alvin Dark,73
1953,Carl Furillo,73
1953,Eddie Mathews,72
1953,Whitey Lockman,69
1953,Granny Hamner,64
1953,Gus Bell,62
1953,Sam Mele,57
1953,Eddie Yost,55
1954,Ralph Kiner,351
1954,Ted Williams,324
1954,Stan Musial,291
1954,Gil Hodges,211
1954,Hank Sauer,206
1954,Del Ennis,204
1954,Andy Pafko,191
1954,Larry Doby,187
1954,Duke Snider,186
1954,Al Rosen,156
1954,Ted Kluszewski,151
1954,Yogi Berra,148
1954,Mickey Vernon,124
1954,Willie Jones,115
1954,Eddie Mathews,112
1954,Monte Irvin,101
1954,Pee Wee Reese,97
1954,Alvin Dark,93
1954,Carl Furillo,92
1954,Whitey Lockman,85
1954,Gus Bell,79
1954,Earl Torgeson,78
1954,Granny Hamner,77
1954,Mickey Mantle,71
1954,Hank Thompson,68
1954,Eddie Yost,66
1954,Minnie Minoso,66
1954,Willie Mays,61
1954,Ray Boone,58
1954,Dave Philley,56
1954,Randy Jackson,54
1954,Frank Thomas,53
1955,Stan Musial,324
1955,Gil Hodges,238
1955,Del Ennis,233
1955,Duke Snider,228
1955,Larry Doby,213
1955,Ted Kluszewski,198
1955,Roy Campanella,188
1955,Al Rosen,177
1955,Yogi Berra,175
1955,Eddie Mathews,153
1955,Mickey Vernon,138
1955,Willie Jones,131
1955,Carl Furillo,118
1955,Willie Mays,112
1955,Mickey Mantle,108
1955,Pee Wee Reese,107
1955,Gus Bell,106
1955,Alvin Dark,102
1955,Whitey Lockman,100
1955,Walt Dropo,95
1955,Earl Torgeson,88
1955,Hank Thompson,85
1955,Frank Thomas,78
1955,Ray Boone,78
1955,Minnie Minoso,76
1955,Randy Jackson,75
1955,Eddie Yost,73
1955,Jackie Jensen,71
1955,Roy Sievers,65
1955,Ernie Banks,63
1955,Red Schoendienst,58
1955,Wally Post,58
1955,Rip Repulski,57
1955,Dee Fondy,54
1955,Bobby Avila,53
1955,Don Mueller,53
1955,George Kell,53
1956,Stan Musial,351
1956,Ted Williams,348
1956,Duke Snider,271
1956,Gil Hodges,270
1956,Del Ennis,259
1956,Larry Doby,237
1956,Ted Kluszewski,233
1956,Yogi Berra,205
1956,Bobby Thomson,199
1956,Al Rosen,192
1956,Eddie Mathews,190
1956,Mickey Mantle,160
1956,Vic Wertz,148
1956,Willie Jones,148
1956,Willie Mays,148
1956,Carl Furillo,139
1956,Gus Bell,135
1956,Pee Wee Reese,116
1956,Alvin Dark,108
1956,Frank Thomas,103
1956,Ray Boone,103
1956,Minnie Minoso,97
1956,Roy Sievers,94
1956,Wally Post,94
1956,Ernie Banks,91
1956,Jackie Jensen,91
1956,Eddie Yost,84
1956,Joe Adcock,79
1956,Hank Bauer,73
1956,Hank Aaron,66
1956,Bobby Avila,63
1956,Dee Fondy,63
1956,George Kell,62
1956,Red Schoendienst,60
1956,Al Kaline,58
1956,Jim Rivera,53
1956,Al Smith,52
1956,Johnny Logan,51
1957,Ted Williams,386
1957,Stan Musial,380
1957,Duke Snider,311
1957,Gil Hodges,297
1957,Del Ennis,283
1957,Yogi Berra,229
1957,Eddie Mathews,222
1957,Mickey Mantle,194
1957,Willie Mays,183
1957,Vic Wertz,176
1957,Gus Zernial,160
1957,Willie Jones,157
1957,Gus Bell,148
1957,Roy Sievers,136
1957,Ernie Banks,134
1957,Frank Thomas,126
1957,Ray Boone,115
1957,Jackie Jensen,114
1957,Wally Post,114
1957,Alvin Dark,112
1957,Hank Aaron,110
1957,Minnie Minoso,109
1957,Whitey Lockman,107
1957,Eddie Yost,93
1957,Hank Bauer,91
1957,Granny Hamner,87
1957,Al Kaline,81
1957,Rip Repulski,77
1957,Red Schoendienst,75
1957,Wally Moon,71
1957,Bobby Avila,68
1957,Frank Robinson,67
1957,Dale Long,64
1957,Al Smith,63
1957,Ken Boyer,63
1957,Johnny Logan,61
1957,Bob Nieman,60
1957,Gil McDougald,60
1957,Jim Piersall,57
1957,Vic Power,55
1957,Charlie Maxwell,52
1957,Gene Woodling,50
1958,Ted Williams,412
1958,Stan Musial,397
1958,Gil Hodges,319
1958,Eddie Mathews,253
1958,Mickey Mantle,236
1958,Bobby Thomson,220
1958,Willie Mays,212
1958,Ernie Banks,181
1958,Roy Sievers,175
1958,Frank Thomas,161
1958,Jackie Jensen,149
1958,Hank Aaron,140
1958,Minnie Minoso,133
1958,Alvin Dark,116
1958,Hank Bauer,103
1958,Eddie Yost,101
1958,Frank Robinson,98
1958,Al Kaline,97
1958,Ken Boyer,86
1958,Dale Long,84
1958,Al Smith,75
1958,Gil McDougald,74
1958,Johnny Logan,72
1958,Vic Power,71
1958,Jim Lemon,70
1958,Walt Moryn,68
1958,Rocky Colavito,66
1958,Del Crandall,65
1958,Gene Woodling,65
1958,Gus Triandos,63
1958,Bill Skowron,54
1958,Hector Lopez,50
1959,Eddie Mathews,299
1959,Mickey Mantle,267
1959,Yogi Berra,248
1959,Willie Mays,246
1959,Ernie Banks,226
1959,Hank Aaron,179
1959,Jackie Jensen,177
1959,Gus Bell,167
1959,Minnie Minoso,154
1959,Wally Post,136
1959,Frank Robinson,134
1959,Al Kaline,124
1959,Alvin Dark,122
1959,Eddie Yost,122
1959,Ken Boyer,114
1959,Rocky Colavito,108
1959,Jim Lemon,103
1959,Al Smith,92
1959,Wally Moon,90
1959,Del Crandall,86
1959,Johnny Logan,85
1959,Charlie Maxwell,83
1959,Vic Power,81
1959,Gene Woodling,79
1959,Gil McDougald,78
1959,Hector Lopez,72
1959,Sherm Lollar,69
1959,Bob Cerv,58
1959,Daryl Spencer,54
1959,Bill Tuttle,53
1959,Charlie Neal,53
1959,Harvey Kuenn,53
1959,Bill Virdon,52
1959,Orlando Cepeda,52
1960,Eddie Mathews,338
1960,Mickey Mantle,307
1960,Willie Mays,275
1960,Ernie Banks,267
1960,Hank Aaron,219
1960,Roy Sievers,203
1960,Vic Wertz,195
1960,Frank Thomas,182
1960,Gus Bell,179
1960,Minnie Minoso,174
1960,Frank Robinson,165
1960,Ken Boyer,146
1960,Rocky Colavito,143
1960,Jim Lemon,141
1960,Al Kaline,139
1960,Eddie Yost,136
1960,Charlie Maxwell,107
1960,Del Crandall,105
1960,Al Smith,104
1960,Joe Adcock,104
1960,Wally Moon,103
1960,Johnny Logan,92
1960,Vic Power,91
1960,Gene Woodling,90
1960,Roger Maris,83
1960,Bill Skowron,80
1960,Orlando Cepeda,76
1960,Sherm Lollar,76
1960,Jim Piersall,75
1960,Harmon Killebrew,73
1960,Daryl Spencer,70
1960,Frank Malzone,63
1960,Harvey Kuenn,62
1960,Bill Tuttle,61
1960,Charlie Neal,61
1960,Bill White,56
1960,Frank Bolling,51
1961,Eddie Mathews,370
1961,Mickey Mantle,361
1961,Willie Mays,315
1961,Ernie Banks,296
1961,Hank Aaron,253
1961,Roy Sievers,230
1961,Frank Thomas,209
1961,Frank Robinson,202
1961,Jackie Jensen,190
1961,Minnie Minoso,188
1961,Rocky Colavito,188
1961,Ken Boyer,170
1961,Al Kaline,158
1961,Roger Maris,144
1961,Joe Adcock,139
1961,Al Smith,132
1961,Orlando Cepeda,122
1961,Wally Moon,120
1961,Harmon Killebrew,119
1961,Bill Skowron,108
1961,Vic Power,96
1961,Jim Piersall,81
1961,Frank Malzone,77
1961,Bill White,76
1961,Bob Allison,74
1961,Willie Kirkland,70
1961,Harvey Kuenn,67
1961,Bill Tuttle,66
1961,Frank Bolling,66
1961,Bill Virdon,61
1961,Bill Mazeroski,58
1961,Dick Stuart,58
1961,Bill Bruton,57
1961,Gene Freese,57
1961,Roberto Clemente,57
1961,Vada Pinson,56
1961,Don Hoak,55
1961,Jim Landis,52
1961,Woodie Held,52
1961,Norm Siebern,51
1962,Stan Musial,416
1962,Eddie Mathews,399
1962,Mickey Mantle,391
1962,Willie Mays,364
1962,Ernie Banks,333
1962,Bob Johnson,300
1962,Hank Aaron,298
1962,Roy Sievers,251
1962,Frank Thomas,243
1962,Frank Robinson,241
1962,Rocky Colavito,225
1962,Ken Boyer,194
1962,Roger Maris,177
1962,Harmon Killebrew,167
1962,Orlando Cepeda,157
1962,Al Smith,148
1962,Bill Skowron,131
1962,Vic Power,112
1962,Bob Allison,103
1962,Frank Malzone,98
1962,Bill White,96
1962,Jim Piersall,85
1962,Norm Cash,80
1962,Jim Gentile,79
1962,Vada Pinson,79
1962,Harvey Kuenn,77
1962,Norm Siebern,76
1962,Bill Bruton,73
1962,Bill Mazeroski,72
1962,Charlie Neal,72
1962,Woodie Held,71
1962,Bob Skinner,69
1962,Bill Virdon,67
1962,Jim Landis,67
1962,Roberto Clemente,67
1962,Leon Wagner,65
1962,Tito Francona,56
1962,Frank Howard,54
1962,Gordy Coleman,54
1962,Jim Gilliam,52
1962,Jackie Brandt,50
1962,Lee Thomas,50
1963,Eddie Mathews,422
1963,Willie Mays,402
1963,Hank Aaron,342
1963,Roy Sievers,270
1963,Frank Robinson,262
1963,Rocky Colavito,247
1963,Ken Boyer,218
1963,Harmon Killebrew,212
1963,Orlando Cepeda,191
1963,Al Kaline,185
1963,Bob Allison,138
1963,Bill White,123
1963,Vic Power,122
1963,Frank Malzone,113
1963,Norm Cash,106
1963,Jim Gentile,103
1963,Vada Pinson,101
1963,Dick Stuart,100
1963,Norm Siebern,92
1963,Leon Wagner,91
1963,Roberto Clemente,84
1963,Bill Bruton,81
1963,Bill Mazeroski,80
1963,Bill Virdon,75
1963,Billy Williams,72
1963,Frank Bolling,71
1963,Earl Battey,69
1963,Tito Francona,66
1963,Ron Santo,65
1963,Lee Thomas,59
1963,Brooks Robinson,58
1963,George Altman,58
1963,Jim Gilliam,58
1963,Johnny Callison,58
1963,Tommy Davis,58
1963,Don Demeter,51
1964,Willie Mays,449
1964,Eddie Mathews,445
1964,Mickey Mantle,426
1964,Hank Aaron,366
1964,Ernie Banks,356
1964,Frank Robinson,291
1964,Rocky Colavito,281
1964,Harmon Killebrew,261
1964,Ken Boyer,242
1964,Orlando Cepeda,222
1964,Roger Maris,203
1964,Al Kaline,202
1964,Bob Allison,170
1964,Bill Skowron,148
1964,Bill White,144
1964,Dick Stuart,133
1964,Jim Gentile,131
1964,Norm Cash,129
1964,Frank Malzone,126
1964,Vada Pinson,124
1964,Leon Wagner,122
1964,Billy Williams,105
1964,Norm Siebern,104
1964,Roberto Clemente,96
1964,Ron Santo,95
1964,Bill Mazeroski,90
1964,Johnny Callison,89
1964,Brooks Robinson,86
1964,Bill Virdon,78
1964,Lee Thomas,74
1964,Tommy Davis,72
1964,Ron Hansen,67
1964,Boog Powell,64
1964,Elston Howard,64
1964,Jackie Brandt,63
1964,Tom Tresh,61
1964,Carl Yastrzemski,59
1964,Jimmie Hall,58
1964,Don Lock,55
1964,Joe Pepitone,55
1964,Zoilo Versalles,54
1965,Willie Mays,501
1965,Eddie Mathews,477
1965,Hank Aaron,398
1965,Ernie Banks,384
1965,Frank Robinson,324
1965,Rocky Colavito,307
1965,Ken Boyer,255
1965,Bob Allison,193
1965,Bill White,168
1965,Bill Skowron,166
1965,Dick Stuart,161
1965,Norm Cash,159
1965,Leon Wagner,150
1965,Vada Pinson,146
1965,Billy Williams,139
1965,Ron Santo,128
1965,Johnny Callison,121
1965,Roberto Clemente,106
1965,Brooks Robinson,104
1965,Bill Mazeroski,96
1965,Lee Thomas,96
1965,Tom Tresh,87
1965,Willie McCovey,83
1965,Bill Virdon,82
1965,Boog Powell,81
1965,Carl Yastrzemski,79
1965,Frank Bolling,78
1965,Jimmie Hall,78
1965,Ron Hansen,78
1965,Frank Howard,75
1965,Joe Pepitone,73
1965,Zoilo Versalles,73
1965,Felipe Alou,68
1965,Clete Boyer,67
1965,Joe Torre,61
1965,Ed Charles,56
1965,Pete Ward,55
1965,Jim Ray Hart,54
1965,Deron Johnson,53
1965,Luis Aparicio,52
1965,Willie Davis,52
1966,Willie Mays,538
1966,Eddie Mathews,493
1966,Hank Aaron,442
1966,Ernie Banks,399
1966,Frank Robinson,373
1966,Rocky Colavito,337
1966,Harmon Killebrew,300
1966,Ken Boyer,269
1966,Orlando Cepeda,242
1966,Al Kaline,231
1966,Norm Cash,191
1966,Bill White,190
1966,Leon Wagner,173
1966,Billy Williams,168
1966,Vada Pinson,162
1966,Ron Santo,158
1966,Roberto Clemente,135
1966,Johnny Callison,132
1966,Brooks Robinson,127
1966,Willie McCovey,119
1966,Boog Powell,115
1966,Tom Tresh,114
1966,Bill Mazeroski,112
1966,Joe Pepitone,104
1966,Felipe Alou,99
1966,Joe Torre,97
1966,Carl Yastrzemski,95
1966,Frank Howard,93
1966,Dick Allen,89
1966,Jim Ray Hart,87
1966,Clete Boyer,81
1966,Zoilo Versalles,80
1966,Deron Johnson,77
1966,Tony Oliva,73
1966,Dick McAuliffe,72
1966,Willie Davis,63
1966,Max Alvis,60
1966,Tony Conigliaro,60
1966,Willie Stargell,60
1966,Luis Aparicio,58
1966,Donn Clendenon,57
1966,Leo Cardenas,57
1966,Willie Horton,56
1966,Jim Fregosi,55
1966,Lou Brock,54
1967,Willie Mays,560
1967,Eddie Mathews,509
1967,Hank Aaron,481
1967,Mickey Mantle,448
1967,Ernie Banks,422
1967,Frank Robinson,403
1967,Harmon Killebrew,344
1967,Orlando Cepeda,267
1967,Al Kaline,256
1967,Bob Allison,217
1967,Norm Cash,213
1967,Billy Williams,196
1967,Ron Santo,189
1967,Vada Pinson,180
1967,Roberto Clemente,158
1967,Willie McCovey,150
1967,Brooks Robinson,149
1967,Johnny Callison,146
1967,Carl Yastrzemski,139
1967,Frank Howard,129
1967,Tom Tresh,128
1967,Bill Mazeroski,121
1967,Joe Pepitone,117
1967,Joe Torre,117
1967,Jim Ray Hart,116
1967,Felipe Alou,114
1967,Dick Allen,112
1967,Clete Boyer,107
1967,Dick McAuliffe,94
1967,Tony Oliva,90
1967,Tommy Davis,88
1967,Ron Hansen,86
1967,Zoilo Versalles,86
1967,Max Alvis,81
1967,Willie Stargell,80
1967,Lou Brock,75
1967,Pete Ward,73
1967,Donn Clendenon,70
1967,Willie Davis,69
1967,Curt Blefary,67
1967,Jim Fregosi,64
1967,Luis Aparicio,62
1967,Jimmy Wynn,59
1967,Ron Fairly,55
1967,Chuck Hinton,53
1967,Bill Freehan,50
1967,Bob Aspromonte,50
1968,Willie Mays,583
1968,Hank Aaron,510
1968,Mickey Mantle,466
1968,Ernie Banks,454
1968,Frank Robinson,418
1968,Orlando Cepeda,283
1968,Bob Allison,239
1968,Billy Williams,226
1968,Ron Santo,215
1968,Willie McCovey,186
1968,Vada Pinson,185
1968,Roberto Clemente,176
1968,Frank Howard,173
1968,Brooks Robinson,166
1968,Carl Yastrzemski,162
1968,Dick Allen,145
1968,Jim Ray Hart,139
1968,Tom Tresh,139
1968,Boog Powell,137
1968,Felipe Alou,125
1968,Bill Mazeroski,124
1968,Dick McAuliffe,110
1968,Tony Oliva,108
1968,Willie Horton,92
1968,Max Alvis,89
1968,Donn Clendenon,87
1968,Jimmy Wynn,85
1968,Curt Blefary,82
1968,Lou Brock,81
1968,Willie Davis,76
1968,Bill Freehan,75
1968,Jim Fregosi,73
1968,Ken Harrelson,70
1968,Ken McMullen,67
1968,Luis Aparicio,66
1968,Pete Rose,59
1968,Curt Flood,53
1968,Denis Menke,52
1968,Julian Javier,52
1968,Don Wert,50
1969,Hank Aaron,554
1969,Ernie Banks,477
1969,Frank Robinson,450
1969,Harmon Killebrew,393
1969,Orlando Cepeda,305
1969,Al Kaline,277
1969,Billy Williams,247
1969,Ron Santo,244
1969,Norm Cash,235
1969,Willie McCovey,231
1969,Frank Howard,221
1969,Carl Yastrzemski,202
1969,Roberto Clemente,195
1969,Vada Pinson,195
1969,Brooks Robinson,189
1969,Dick Allen,177
1969,Boog Powell,174
1969,Johnny Callison,162
1969,Tom Tresh,153
1969,Joe Pepitone,144
1969,Joe Torre,135
1969,Tony Oliva,132
1969,Felipe Alou,130
1969,Clete Boyer,121
1969,Willie Horton,120
1969,Jimmy Wynn,118
1969,Willie Stargell,109
1969,Ken Harrelson,100
1969,Tommy Davis,95
1969,Curt Blefary,94
1969,Deron Johnson,94
1969,Lou Brock,93
1969,Bill Freehan,91
1969,Willie Davis,87
1969,Ken McMullen,86
1969,Jim Fregosi,85
1969,Tony Perez,81
1969,Tony Conigliaro,80
1969,Reggie Jackson,76
1969,Pete Rose,75
1969,Rico Petrocelli,75
1969,Luis Aparicio,71
1969,Mack Jones,70
1969,Leo Cardenas,67
1969,Rusty Staub,64
1969,Denis Menke,62
1969,George Scott,62
1969,Julian Javier,62
1969,Tommie Agee,62
1969,Lee May,60
1969,Randy Hundley,58
1969,Curt Flood,57
1969,Jim Northrup,56
1969,Reggie Smith,55
1969,Rick Reichardt,51
1969,Tom Haller,51
1969,Don Mincher,50
1970,Willie Mays,611
1970,Hank Aaron,592
1970,Frank Robinson,475
1970,Harmon Killebrew,434
1970,Orlando Cepeda,339
1970,Al Kaline,293
1970,Billy Williams,289
1970,Ron Santo,270
1970,Willie McCovey,270
1970,Frank Howard,265
1970,Carl Yastrzemski,242
1970,Vada Pinson,219
1970,Dick Allen,211
1970,Boog Powell,209
1970,Brooks Robinson,207
1970,Johnny Callison,181
1970,Joe Pepitone,170
1970,Joe Torre,156
1970,Tony Oliva,155
1970,Jimmy Wynn,145
1970,Willie Stargell,140
1970,Felipe Alou,138
1970,Clete Boyer,137
1970,Dick McAuliffe,122
1970,Deron Johnson,121
1970,Tony Perez,121
1970,Tony Conigliaro,116
1970,Jim Fregosi,107
1970,Lou Brock,106
1970,Rico Petrocelli,104
1970,Ken McMullen,100
1970,Reggie Jackson,99
1970,Willie Davis,95
1970,Lee May,94
1970,Rusty Staub,94
1970,Pete Rose,90
1970,Johnny Bench,86
1970,Tommie Agee,86
1970,Jim Northrup,80
1970,George Scott,78
1970,Leo Cardenas,78
1970,Don Mincher,77
1970,Reggie Smith,77
1970,Luis Aparicio,76
1970,Denis Menke,75
1970,Julian Javier,64
1970,Tommy Harper,63
1970,Nate Colbert,62
1970,Rico Carty,62
1970,Sal Bando,60
1970,Bobby Bonds,58
1970,Bill Melton,56
1970,Jose Cardenal,55
1970,Paul Blair,55
1970,Don Buford,54
1971,Hank Aaron,639
1971,Willie Mays,629
1971,Frank Robinson,503
1971,Harmon Killebrew,462
1971,Billy Williams,317
1971,Frank Howard,291
1971,Ron Santo,291
1971,Norm Cash,267
1971,Carl Yastrzemski,257
1971,Dick Allen,234
1971,Boog Powell,231
1971,Vada Pinson,230
1971,Brooks Robinson,227
1971,Roberto Clemente,208
1971,Willie Stargell,188
1971,Joe Torre,180
1971,Tony Oliva,177
1971,Deron Johnson,155
1971,Felipe Alou,146
1971,Tony Perez,146
1971,Dick McAuliffe,140
1971,Lee May,133
1971,Rico Petrocelli,132
1971,Reggie Jackson,131
1971,Ken McMullen,121
1971,Johnny Bench,113
1971,Lou Brock,113
1971,Rusty Staub,113
1971,Bill Freehan,112
1971,Reggie Smith,107
1971,Willie Davis,105
1971,Pete Rose,103
1971,George Scott,102
1971,Jim Northrup,96
1971,Leo Cardenas,96
1971,Bobby Bonds,91
1971,Bill Melton,89
1971,Don Mincher,89
1971,Nate Colbert,89
1971,Sal Bando,84
1971,Luis Aparicio,80
1971,Tommy Harper,77
1971,Denis Menke,76
1971,Bobby Murcer,74
1971,Don Buford,73
1971,Rick Reichardt,70
1971,Ron Fairly,68
1971,Jose Cardenal,65
1971,Paul Blair,65
1971,Roy White,65
1971,Davey Johnson,61
1971,Joe Morgan,61
1971,Cleon Jones,58
1971,Graig Nettles,54
1971,Ollie Brown,52
1971,Wes Parker,52
1971,Tim McCarver,50
1972,Hank Aaron,673
1972,Harmon Killebrew,488
1972,Billy Williams,354
1972,Ron Santo,308
1972,Norm Cash,289
1972,Dick Allen,271
1972,Carl Yastrzemski,269
1972,Boog Powell,252
1972,Vada Pinson,237
1972,Brooks Robinson,235
1972,Willie Stargell,221
1972,Joe Torre,191
1972,Jimmy Wynn,169
1972,Tony Perez,167
1972,Lee May,162
1972,Reggie Jackson,156
1972,Johnny Bench,153
1972,Rico Petrocelli,147
1972,Ken McMullen,130
1972,Reggie Smith,128
1972,Nate Colbert,127
1972,Willie Davis,124
1972,George Scott,122
1972,Bobby Bonds,117
1972,Lou Brock,116
1972,Pete Rose,109
1972,Bobby Murcer,107
1972,Leo Cardenas,102
1972,Sal Bando,99
1972,Tommy Harper,91
1972,Denis Menke,85
1972,Ron Fairly,85
1972,Jose Cardenal,82
1972,Don Buford,78
1972,Joe Morgan,77
1972,Roy White,75
1972,Paul Blair,73
1972,Graig Nettles,71
1972,Doug Rader,70
1972,Mike Epstein,65
1972,Bob Bailey,64
1972,Earl Williams,61
1972,Wes Parker,56
1972,Al Oliver,55
1972,Bert Campaneris,55
1972,Aurelio Rodriguez,54
1972,Mike Andrews,54
1972,Ken Henderson,50
1973,Frank Robinson,533
1973,Billy Williams,374
1973,Orlando Cepeda,359
1973,Ron Santo,328
1973,Carl Yastrzemski,288
1973,Willie Stargell,265
1973,Brooks Robinson,244
1973,Joe Torre,204
1973,Tony Perez,194
1973,Tony Oliva,193
1973,Lee May,190
1973,Jimmy Wynn,189
1973,Reggie Jackson,188
1973,Johnny Bench,178
1973,Deron Johnson,175
1973,Bobby Bonds,156
1973,Nate Colbert,149
1973,George Scott,146
1973,Willie Davis,140
1973,Bobby Murcer,129
1973,Rusty Staub,128
1973,Sal Bando,128
1973,Lou Brock,123
1973,Pete Rose,114
1973,Bill Melton,109
1973,Tommy Harper,108
1973,Davey Johnson,104
1973,Joe Morgan,103
1973,Ron Fairly,102
1973,Tommy Davis,102
1973,Graig Nettles,93
1973,Jose Cardenal,93
1973,Roy White,93
1973,Doug Rader,91
1973,Bob Bailey,90
1973,Earl Williams,83
1973,Paul Blair,83
1973,Luis Aparicio,80
1973,Al Oliver,75
1973,Bob Oliver,65
1973,Amos Otis,63
1973,Aurelio Rodriguez,63
1973,Darrell Evans,60
1973,Bert Campaneris,59
1973,Cesar Cedeno,57
1973,Mickey Stanley,57
1973,Willie Montanez,54
1973,Richie Hebner,52
1973,Carlos May,51
1973,John Mayberry,51
1973,Dave May,50
1974,Frank Robinson,555
1974,Al Kaline,306
1974,Carl Yastrzemski,303
1974,Dick Allen,303
1974,Willie Stargell,290
1974,Brooks Robinson,251
1974,Tony Perez,222
1974,Jimmy Wynn,221
1974,Reggie Jackson,217
1974,Joe Torre,215
1974,Lee May,214
1974,Johnny Bench,211
1974,Bobby Bonds,177
1974,George Scott,163
1974,Rico Petrocelli,162
1974,Willie Davis,152
1974,Reggie Smith,151
1974,Sal Bando,150
1974,Rusty Staub,147
1974,Bobby Murcer,139
1974,Bill Freehan,130
1974,Bill Melton,130
1974,Lou Brock,126
1974,Joe Morgan,125
1974,Davey Johnson,119
1974,Pete Rose,117
1974,Graig Nettles,115
1974,Tommy Davis,113
1974,Tommy Harper,113
1974,Bob Bailey,110
1974,Doug Rader,108
1974,Jose Cardenal,106
1974,Paul Blair,100
1974,Roy White,100
1974,Al Oliver,86
1974,Darrell Evans,85
1974,Cesar Cedeno,83
1974,Amos Otis,75
1974,John Mayberry,73
1974,Cleon Jones,71
1974,Ken Henderson,70
1974,Richie Hebner,70
1974,Aurelio Rodriguez,68
1974,Bobby Darwin,65
1974,Rick Monday,65
1974,Bert Campaneris,61
1974,Don Money,61
1974,Willie Montanez,61
1974,Dave May,60
1974,Carlos May,59
1974,Dusty Baker,58
1974,Ted Simmons,56
1974,Thurman Munson,56
1974,Jeff Burroughs,55
1974,Larry Hisle,54
1974,Bob Watson,52
1974,Joe Rudi,51
1974,Lou Piniella,51
1974,Gene Tenace,50
1975,Hank Aaron,685
1975,Billy Williams,397
1975,Carl Yastrzemski,317
1975,Willie Stargell,312
1975,Boog Powell,279
1975,Brooks Robinson,257
1975,Reggie Jackson,253
1975,Tony Perez,242
1975,Jimmy Wynn,239
1975,Johnny Bench,239
1975,Lee May,234
1975,Bobby Bonds,209
1975,Tony Oliva,206
1975,George Scott,199
1975,Deron Johnson,194
1975,Reggie Smith,170
1975,Rusty Staub,166
1975,Sal Bando,165
1975,Willie Davis,163
1975,Bobby Murcer,150
1975,Bill Melton,145
1975,Willie Horton,145
1975,Joe Morgan,142
1975,Graig Nettles,136
1975,Lou Brock,129
1975,Pete Rose,124
1975,Jose Cardenal,115
1975,Roy White,112
1975,Darrell Evans,107
1975,John Mayberry,107
1975,Al Oliver,104
1975,Cesar Cedeno,96
