year,player,career_hr
1924,Max Carey,62
1924,Jack Tobin,59
1924,Baby Doll Jacobson,58
1925,Rogers Hornsby,180
1925,Zack Wheat,117
1925,George Kelly,108
1925,Bob Meusel,105
1925,Harry Heilmann,105
1925,Tris Speaker,105
1925,Ty Cobb,103
1925,Irish Meusel,99
1925,Jack Fournier,95
1925,George Burns,90
1925,Oscar Charleston,85
1925,George Sisler,78
1925,Harry Hooper,75
1925,Baby Doll Jacobson,73
1925,Max Carey,67
1926,Babe Ruth,311
1926,Rogers Hornsby,191
1926,George Kelly,121
1926,Harry Heilmann,114
1926,Tris Speaker,112
1926,Irish Meusel,105
1926,Oscar Charleston,95
1926,George Burns,94
1926,George Sisler,85
1926,Baby Doll Jacobson,81
1926,Wally Pipp,81
1926,Turkey Stearnes,66
1926,Jim Bottomley,62
1926,Goose Goslin,56
1926,Edgar Wesley,55
1926,Marty McManus,53
1926,Al Simmons,51
1927,Babe Ruth,371
1927,Rogers Hornsby,217
1927,Cy Williams,199
1927,Ken Williams,137
1927,Harry Heilmann,128
1927,Tris Speaker,114
1927,Bob Meusel,113
1927,Oscar Charleston,108
1927,Ty Cobb,108
1927,George Burns,97
1927,George Sisler,90
1927,Turkey Stearnes,85
1927,Lou Gehrig,83
1927,Wally Pipp,83
1927,Jim Bottomley,81
1927,Goose Goslin,69
1927,Max Carey,68
1927,Frankie Frisch,58
1927,Bing Miller,54
1927,John Beckwith,54
1927,Edd Roush,51
1927,Hack Wilson,51
1927,Dewey Creacy,50
1927,George Harper,50
1927,Willie Wells,50
1928,Babe Ruth,425
1928,Rogers Hornsby,238
1928,Ken Williams,145
1928,Harry Heilmann,142
1928,Bob Meusel,124
1928,Jim Bottomley,112
1928,Lou Gehrig,110
1928,Turkey Stearnes,109
1928,George Sisler,94
1928,Goose Goslin,86
1928,Hack Wilson,82
1928,Willie Wells,72
1928,Frankie Frisch,68
1928,Al Simmons,66
1928,Mule Suttles,66
1928,Bing Miller,62
1928,Marty McManus,61
1928,Wilson Redus,61
1928,Dewey Creacy,60
1928,Kiki Cuyler,52
1929,Babe Ruth,471
1929,Rogers Hornsby,277
1929,Harry Heilmann,157
1929,Lou Gehrig,145
1929,Jim Bottomley,141
1929,George Kelly,126
1929,Turkey Stearnes,125
1929,Hack Wilson,121
1929,Oscar Charleston,115
1929,Goose Goslin,104
1929,Al Simmons,100
1929,Willie Wells,98
1929,George Sisler,96
1929,Mule Suttles,84
1929,Marty McManus,79
1929,Frankie Frisch,73
1929,Bing Miller,70
1929,Wilson Redus,70
1929,John Beckwith,68
1929,Dewey Creacy,67
1929,Kiki Cuyler,67
1929,Bill Terry,62
1929,George Harper,60
1929,Mel Ott,60
1929,Travis Jackson,60
1929,Edd Roush,59
1929,Bibb Falk,57
1929,Chick Hafey,56
1929,Jimmie Dykes,55
1929,Tony Lazzeri,54
1929,Charlie Grimm,53
1929,Curt Walker,53
1929,Don Hurst,50
1929,Martín Dihigo,50
1930,Babe Ruth,520
1930,Lou Gehrig,186
1930,Hack Wilson,177
1930,Harry Heilmann,176
1930,Jim Bottomley,156
1930,Goose Goslin,141
1930,Al Simmons,136
1930,Bob Meusel,134
1930,Willie Wells,115
1930,Marty McManus,88
1930,Bill Terry,85
1930,Mel Ott,85
1930,Chuck Klein,83
1930,Frankie Frisch,83
1930,Chick Hafey,82
1930,Kiki Cuyler,80
1930,Babe Herman,79
1930,Bing Miller,79
1930,Dewey Creacy,74
1930,Travis Jackson,73
1930,Jimmie Foxx,70
1930,Freddie Lindstrom,67
1930,George Grantham,64
1930,Glenn Wright,64
1930,Tony Lazzeri,63
1930,Curt Walker,61
1930,Jimmie Dykes,61
1930,Charlie Grimm,59
1930,Joe Judge,58
1930,Heinie Manush,57
1930,Lefty O'Doul,54
1930,Branch Russell,53
1930,Del Bissonette,53
1930,Pie Traynor,51
1931,Babe Ruth,566
1931,Lou Gehrig,232
1931,Goose Goslin,165
1931,Al Simmons,158
1931,Turkey Stearnes,133
1931,Willie Wells,118
1931,Chuck Klein,114
1931,Mel Ott,114
1931,Jimmie Foxx,100
1931,Chick Hafey,98
1931,Babe Herman,97
1931,Bill Terry,94
1931,Marty McManus,92
1931,Mule Suttles,91
1931,Kiki Cuyler,89
1931,Bing Miller,87
1931,Frankie Frisch,87
1931,Travis Jackson,78
1931,Dewey Creacy,74
1931,George Grantham,74
1931,Tony Lazzeri,71
1931,Earl Averill,69
1931,Del Bissonette,65
1931,Charlie Grimm,63
1931,Heinie Manush,63
1931,Mickey Cochrane,62
1931,Don Hurst,61
1931,Lefty O'Doul,61
1931,Johnny Frederick,58
1931,Wally Berger,57
1931,Freddy Leach,55
1931,Branch Russell,54
1931,Pie Traynor,53
1931,Paul Waner,52
1932,Babe Ruth,607
1932,Lou Gehrig,266
1932,Hack Wilson,200
1932,Al Simmons,193
1932,Goose Goslin,182
1932,Jimmie Foxx,158
1932,Chuck Klein,152
1932,Mel Ott,152
1932,Turkey Stearnes,137
1932,Bill Terry,122
1932,Willie Wells,120
1932,Babe Herman,113
1932,Earl Averill,101
1932,Kiki Cuyler,99
1932,Mule Suttles,95
1932,Frankie Frisch,90
1932,Tony Lazzeri,86
1932,Don Hurst,85
1932,Mickey Cochrane,85
1932,Freddie Lindstrom,82
1932,Lefty O'Doul,82
1932,George Grantham,80
1932,Dewey Creacy,77
1932,Heinie Manush,77
1932,Wally Berger,74
